"Possible Locations__ADDRESS","Possible Locations__BLK_NO","Possible Locations__BUILDING","Possible Locations__LATITUDE","Possible Locations__LONGITUDE","Possible Locations__LONGTITUDE","Possible Locations__POSTAL","Possible Locations__ROAD_NAME","Possible Locations__SEARCHVAL","Possible Locations__X","Possible Locations__Y","Station","Station Name"
"10 JURONG EAST STREET 12 JURONG EAST MRT STATION SINGAPORE 609690","10","JURONG EAST MRT STATION","1.33315261987297","103.742286544006","103.742286544006","609690","JURONG EAST STREET 12","JURONG EAST MRT STATION","17869.0806001499","35038.9471976683","NS1","Jurong East"
"10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION SINGAPORE 659958","10","BUKIT BATOK MRT STATION","1.34903410858812","103.749566764129","103.749566764129","659958","BUKIT BATOK CENTRAL","BUKIT BATOK MRT STATION","18679.3541307775","36795.014101265","NS2","Bukit Batok"
"802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION SINGAPORE 659083","802","BUKIT GOMBAK MRT STATION","1.35861159094194","103.751790910733","103.751790910733","659083","BUKIT BATOK WEST AVENUE 5","BUKIT GOMBAK MRT STATION","18926.9127006596","37854.0358848739","NS3","Bukit Gombak"
"10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION SINGAPORE 689810","10","CHOA CHU KANG MRT STATION","1.38536316540226","103.744370779756","103.744370779756","689810","CHOA CHU KANG AVENUE 4","CHOA CHU KANG MRT STATION","18101.2472041473","40812.1216052435","NS4","Choa Chu Kang"
"61 CHOA CHU KANG DRIVE YEW TEE MRT STATION SINGAPORE 689715","61","YEW TEE MRT STATION","1.39753501762625","103.747405114336","103.747405114336","689715","CHOA CHU KANG DRIVE","YEW TEE MRT STATION","18438.9791220082","42158.0123815145","NS5","Yew Tee"
"960 WOODLANDS ROAD KRANJI MRT STATION SINGAPORE 738702","960","KRANJI MRT STATION","1.42508698073649","103.762137459497","103.762137459497","738702","WOODLANDS ROAD","KRANJI MRT STATION","20078.5865077022","45204.5168451145","NS7","Kranji"
"71 WOODLANDS AVENUE 3 MARSILING MRT STATION SINGAPORE 739044","71","MARSILING MRT STATION","1.4325211485503","103.774074641403","103.774074641403","739044","WOODLANDS AVENUE 3","MARSILING MRT STATION","21407.04132115","46026.5125302095","NS8","Marsiling"
"11 WOODLANDS SQUARE WOODLANDS MRT STATION SINGAPORE 737736","11","WOODLANDS MRT STATION","1.43606698186149","103.787930806962","103.787930806962","737736","WOODLANDS SQUARE","WOODLANDS MRT STATION","22949.0321892574","46418.557862876","NS9","Woodlands"
"30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION SINGAPORE 738343","30","WOODLANDS MRT STATION","1.43696824751195","103.78646245158","103.78646245158","738343","WOODLANDS AVENUE 2","WOODLANDS MRT STATION","22785.6286025448","46518.2186195459","",""
"70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION SINGAPORE 738344","70","ADMIRALTY MRT STATION","1.44058500086852","103.800988000403","103.800988000403","738344","WOODLANDS AVENUE 7","ADMIRALTY MRT STATION","24402.1062544612","46918.1130760182","NS10","Admiralty"
